Title, Number_of_characters, Description, Gender, doNotUse, birthYear, deathDate, deathYear, ethnicity, nationality, country, region, religion, activeYearsStartYear, genre, notableWork, almaMater 
John Tomlinson (comics), 2, NA, NA, NA, NA, NA, NA, NA, United Kingdom, NA, NA, NA, NA, NA, NA, NA
John Totleben, 1, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
John Verpoorten, 1, Artist, NA, 1940-05-15, 1940, NA, 1977, NA, United States, NA, NA, NA, NA, NA, NA, NA
John Wagner, 44, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
John Warner (comics), 3, American comics writer, NA, 1952-12-03, 1952, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
John Woo, 1, NA, NA, NA, NA, NA, NA, NA, NA, China, NA, NA, NA, NA, NA, NA
John le Carré, 1, NA, NA, 1931-10-19, 1931, NA, NA, NA, NA, NA, NA, NA, NA, Spy fiction, The Spy Who Came in from the Cold and Tinker Tailor Soldier Spy and Smileys People and The Honourable Schoolboy and The Constant Gardener, NA
Johnnie Mortimer, 2, NA, NA, 1931-07-02, 1931, 1992-09-02, NA, NA, British people, NA, NA, NA, 1968, Television, Man About the House and George and Mildred and Robins Nest and Never the Twain and Father Dear Father and Alcock and Gander and Full House (UK TV series) and Tom Dick and Harriet and Let There Be Love (TV series), NA
Johnny Craig, 1, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Johnny Gruelle, 1, NA, NA, 1880-12-24, 1880, 1938-01-09, NA, NA, NA, NA, NA, NA, NA, Children's literature, Raggedy Ann, NA
Johnny Speight, 2, NA, NA, 1920-06-02, 1920, 1998-07-05, NA, NA, British people, NA, NA, NA, 1955, Television, Till Death Us Do Part and In Sickness and in Health and Curry and Chips, NA
Jon Bogdanove, 5, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Jonathan Hickman, 5, Writer, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Jonathan Roberts (writer), 4, NA, NA, 1956-05-10, 1956, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Jordan B. Gorfinkel, 2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Jorge González (wrestler), 1, NA, NA, 1966-01-31, 1966, 2010-09-22, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Jorge Lucas, 4, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Joseph Barbera, 18, NA, NA, 1911-03-24, 1911, 2006-12-18, 2006, NA, NA, NA, NA, NA, 1932, NA, NA, NA
Joseph Conrad, 1, NA, NA, 1857-12-03, 1857, 1924-08-03, NA, NA, Poles, NA, NA, NA, 1895, Fiction, Heart of Darkness and Nostromo and The Secret Agent and Lord Jim and Typhoon (novella) and Under Western Eyes and The Nigger of the Narcissus, NA
Joseph Michael Linsner, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Josh Friedman, 3, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Josh Schwartz, 29, NA, NA, 1976-08-06, 1976, NA, NA, NA, United States nationality law, NA, NA, NA, NA, NA, The O.C. and Chuck (TV series) and Gossip Girl and Hart_Of_Dixie, NA
Joshua Safran, 1, American television producer, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Josip Vandot, 1, Slovenian writer, NA, 1884-01-15, 1884, 1944-07-11, 1944, NA, Slovenes, NA, NA, NA, NA, NA, NA, NA
Joss Whedon, 23, NA, NA, 1964-06-23, 1964, NA, NA, NA, NA, NA, NA, NA, 1989, NA, NA, Wesleyan University
José Delbo, 2, Comic book artist, NA, 1933-12-09, 1933, NA, NA, NA, Argentines, NA, NA, NA, NA, NA, NA, NA
José Ladrönn, 2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
José Luis García-López, 2, NA, NA, NA, NA, NA, NA, NA, Spaniards, NA, NA, NA, NA, NA, NA, NA
José Rizal, 2, Filipino activist, NA, 1861-06-19, 1861, 1896-12-30, 1896, NA, NA, NA, NA, NA, NA, NA, NA, Complutense University of Madrid and Ateneo de Manila University and University of Santo Tomas
Joy Cowley, 1, NA, NA, 1936-08-07, 1936, NA, NA, Danes and European New Zealanders and Swedes, NA, NA, NA, NA, 1967, NA, NA, Massey University
Judd Winick, 18, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Judy Blume, 2, NA, NA, 1938-02-12, 1938, NA, NA, NA, Americans, NA, NA, NA, 1969, Childrens literature and Realism (arts), Are You There God? Its Me Margaret. and Tiger Eyes and Tales of a Fourth Grade Nothing, NA
Jules Verne, 8, NA, NA, 1828-02-08, 1828, 1905-03-24, NA, NA, NA, NA, NA, NA, 1850, NA, Twenty Thousand Leagues Under the Sea and Around the World in Eighty Days and From the Earth to the Moon and Journey to the Center of the Earth and The Mysterious Island and Five Weeks in a Balloon, NA
Julie Plec, 2, American screenwriter, NA, 1972-05-26, 1972, NA, NA, NA, United States, NA, NA, NA, 1996, NA, Kyle XY and Scream (franchise) and The Vampire Diaries and The Originals (TV series), Northwestern University
Julius Schwartz, 3, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Jun Fukuda, 5, Japanese film director, NA, 1923-02-17, 1923, 2000-12-03, 2000, NA, NA, NA, NA, NA, NA, NA, NA, NA
June Brigman, 11, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Junji Ito, 1, NA, NA, 1963-07-31, 1963, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Junot Díaz, 1, American writer of Dominican Republic descent, NA, 1968-12-31, 1968, NA, NA, NA, NA, NA, NA, NA, 1997, NA, NA, NA
Justin Gray, 10, Americancomic book writer, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Justiniano, 2, Artist, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
J. D. Salinger, 1, NA, NA, 1919-01-01, 1919, 2010-01-27, NA, NA, NA, NA, NA, NA, 1940, NA, The Catcher in the Rye and Nine Stories (Salinger) and Franny and Zooey and Raise High the Roof Beam Carpenters and Seymour: An Introduction, NA
J. G. Jones, 2, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
J. H. Williams III, 2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
J. J. Abrams, 2, NA, NA, 1966-06-27, 1966, NA, NA, NA, NA, NA, NA, NA, 1982, NA, NA, NA
J. J. Philbin, 1, American television producer and writer, NA, 1974-08-30, 1974, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
J. K. Rowling, 8, NA, NA, 1965-07-31, 1965, NA, NA, NA, NA, NA, NA, NA, 1997, Crime fiction and Tragicomedy and Young-adult fiction and Fantasy and Drama, Harry Potter, University of Exeter
J. M. Barrie, 5, NA, NA, 1860-05-09, 1860, 1937-06-19, NA, NA, NA, NA, NA, NA, NA, Fantasy, The Little White Bird and Peter and Wendy and The Admirable Crichton, NA
J. M. DeMatteis, 40, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
J. Michael Straczynski, 15, NA, NA, 1954-07-17, 1954, NA, NA, NA, NA, NA, NA, NA, 1979, NA, NA, NA
J. Scott Campbell, 12, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
J. T. Krul, 1, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Jack Binder (artist), 3, Comic creator, NA, 1902-08-11, 1902, 1986-03-06, 1986, NA, NA, NA, NA, NA, NA, NA, NA, NA
Jack C. Harris, 4, Writer, NA, 1947-08-30, 1947, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Jack Cole (artist), 7, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Jack Dee, 1, NA, NA, 1961-09-29, 1961, NA, NA, NA, British people, NA, NA, NA, NA, Observational comedy and Deadpan, NA, NA
Jack Emmert, 1, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Jack Heath, 1, Australian writer, NA, 1986-08-23, 1986, NA, NA, NA, NA, NA, NA, NA, NA, Young-adult fiction, NA, NA
Jack Kirby, 271, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Jack LoGiudice, 1, American television writer and producer, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1987, NA, NA, NA
Jack Sparling, 3, Artist, NA, 1916-06-21, 1916, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Jack Wrather, 2, NA, NA, 1918-05-24, 1918, 1984-11-12, 1984, NA, NA, NA, NA, NA, NA, NA, NA, University of Texas at Austin
Jackson Guice, 14, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Jacqueline Wilson, 1, NA, NA, 1945-12-17, 1945, NA, NA, NA, NA, NA, NA, NA, 1945, Realism (arts), The Story of Tracy Beaker and Double Act (novel) and Cookie (novel), NA
Jae Lee, 2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Jamal Igle, 2, Artist, NA, NA, 1972, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
James Cameron, 11, NA, NA, 1954-08-16, 1954, NA, NA, NA, NA, NA, NA, NA, 1975, NA, NA, NA
James Clavell, 1, NA, NA, 1921-10-10, 1921, 1994-09-07, NA, NA, NA, NA, NA, NA, 1958, NA, NA, NA
James D. Hudnall, 7, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
James D. Parriott, 1, American film director, NA, 1950-11-14, 1950, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
James Duff (writer), 11, NA, NA, 1955-09-03, 1955, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
James Fenimore Cooper, 3, NA, NA, 1789-09-15, 1789, 1851-09-14, NA, NA, NA, NA, NA, NA, NA, Historical fiction, The Last of the Mohicans, NA
James Fry, 1, Australian writer, NA, 1982-12-02, 1982, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
James L. Brooks, 5, NA, NA, 1940-05-09, 1940, NA, NA, NA, NA, NA, NA, Jews, 1965, NA, NA, NA
James Lee Burke, 1, NA, NA, 1936-12-05, 1936, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Åke Holmberg, 1, Swedish writer, NA, 1907-05-31, 1907, 1991-09-09, 1991, NA, Swedish language, NA, NA, NA, 1946, Children's literature, Tam Sventon, NA
Kaare Andrews, 1, NA, NA, NA, NA, NA, NA, NA, Canadians, NA, NA, NA, NA, NA, NA, NA
Kalman Andrasofszky, 1, Canadian artist writer designer entrepreneur, NA, 1975-08-21, 1975, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Kamagurka, 2, cartoonist playwright television producer, NA, 1956-05-05, 1956, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Kang the Conqueror, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Karen Chance, 1, American writer, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Karl Kesel, 18, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Karl May, 1, NA, NA, 1842-02-25, 1842, 1912-03-30, NA, NA, NA, NA, NA, NA, NA, Western fiction, NA, NA
Kass Morgan, 1, American writer, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, Science fiction and Apocalyptic and post-apocalyptic fiction and Young-adult fiction and Dystopia, The 100 trilogy, NA
Katherine Fugate, 7, American screenwriter and producer, NA, 1965-07-14, 1965, NA, NA, NA, NA, NA, NA, NA, 1996, NA, NA, NA
Katherine Paterson, 1, NA, NA, 1932-10-31, 1932, NA, NA, NA, Americans, NA, NA, NA, 1973, Childrens literature and Young-adult fiction, Bridge to Terabithia (novel) and Jacob Have I Loved and The Great Gilly Hopkins and The Master Puppeteer and The Day of the Pelican, NA
Katsura Hoshino, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Kazuki Ōmori, 3, Japanese film director, NA, 1952-03-03, 1952, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Kedar Ghimire, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 2002, NA, NA, NA
Keigo Higashino, 1, NA, NA, 1958-02-04, 1958, NA, NA, NA, NA, NA, NA, NA, 1985, Crime fiction and Thriller (genre) and Mystery fiction, NA, NA
Keith Giffen, 49, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Keith Harris (ventriloquist), 2, NA, NA, 1947-09-21, 1947, 2015-04-28, 2015, NA, NA, NA, NA, NA, NA, NA, NA, NA
Keith Pollard, 5, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Kelley Armstrong, 1, NA, NA, 1968-12-14, 1968, NA, NA, NA, NA, NA, NA, NA, 1999, Horror fiction and Crime fiction and Romance novel and Fantasy, NA, NA
Kelley Jones, 7, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Kelley Puckett, 4, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Kelly Sue DeConnick, 3, American writer, NA, 1970-07-15, 1970, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Kelvin Gosnell, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ken Akamatsu, 2, NA, NA, 1968-07-05, 1968, NA, NA, NA, NA, NA, NA, NA, 1993, NA, NA, NA
Ken Bald, 1, Illustrator, NA, 1920-08-01, 1920, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ken Follett, 1, NA, NA, 1949-06-05, 1949, NA, NA, NA, NA, NA, NA, NA, 1974, Historical fiction and Thriller (genre) and Spy fiction, World Without End (Follett novel) and The Key to Rebecca and Eye of the Needle and Whiteout (Follett novel), NA
Ken Kesey, 2, NA, NA, 1935-09-17, 1935, 2001-11-10, NA, NA, NA, NA, NA, NA, NA, Postmodernism and Beat Generation, One Flew Over the Cuckoos Nest (novel) and Sometimes a Great Notion, NA
Ken Kuronuma, 2, Japanese writer, NA, 1902-05-01, 1902, 1985-07-05, 1985, NA, NA, Japan, NA, NA, NA, NA, NA, NA
Ken Spears, 1, NA, NA, 1938-03-12, 1938, NA, NA, NA, NA, NA, NA, NA, 1959, NA, NA, NA
Ken Wheat, 1, American screenwriter, NA, NA, 1950, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Kenneth Grahame, 1, NA, NA, 1859-03-08, 1859, 1932-07-06, NA, NA, NA, NA, NA, NA, NA, NA, The Wind in the Willows, NA
Kentaro Miura, 1, NA, NA, 1966-07-11, 1966, NA, NA, NA, Japan, NA, NA, NA, 1976, NA, NA, NA
Kermit Love, 1, NA, NA, 1916-08-07, 1916, 2008-06-21, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Keron Grant, 8, Artist, NA, 1976-08-23, 1976, NA, NA, NA, Jamaican Americans, NA, NA, NA, NA, NA, NA, NA
Kerry Gammill, 6, Artist, NA, 1954-04-26, 1954, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Kerry Greenwood, 1, Australian crime writer, NA, 1954-06-17, 1954, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, University of Melbourne
Kev Hopgood, 1, Comic book artist, NA, 1961-08-25, 1961, NA, NA, NA, British people, NA, NA, NA, NA, NA, NA, NA
Kev Walker, 6, NA, NA, NA, NA, NA, NA, NA, British people, NA, NA, NA, NA, NA, NA, NA
Kevin Eastman, 14, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Kevin Grevioux, 3, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1993, NA, NA, NA
Kevin J. Anderson, 1, NA, NA, 1962-03-27, 1962, NA, NA, NA, NA, NA, NA, NA, NA, Horror fiction and Science fiction and Fantasy, NA, NA
Kevin Maguire (artist), 4, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Kevin Nowlan, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Kevin Smith, 6, NA, NA, 1970-08-02, 1970, NA, NA, NA, NA, NA, NA, NA, 1993, NA, NA, NA
Kevin VanHook, 1, NA, NA, 1965-06-24, 1965, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Kevin Williamson (screenwriter), 17, NA, NA, 1965-03-14, 1965, NA, NA, NA, United States nationality law, NA, NA, NA, NA, NA, Dawsons Creek and I Know What You Did Last Summer and Scream (franchise) and The Vampire Diaries and The Following, NA
Kieron Dwyer, 8, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Kieron Gillen, 6, NA, NA, NA, NA, NA, NA, NA, United Kingdom, NA, NA, NA, NA, NA, NA, NA
Kim Henkel, 1, American film director producer and screenwriter, NA, 1946-01-19, 1946, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Kim Yale, 2, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Kin Platt, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Kinoko Nasu, 2, NA, NA, 1973-11-28, 1973, NA, NA, NA, NA, NA, NA, NA, 2000, NA, NA, NA
Kirk Jarvinen, 2, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Kiyohiko Azuma, 2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Klaus Janson, 4, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Klaus Nordling, 1, Writer, NA, 1910-05-29, 1910, 1986-11-19, 1986, NA, United States, NA, NA, NA, NA, NA, NA, NA
Koge-Donbo, 1, NA, NA, 1976-02-27, 1976, NA, NA, NA, Japanese people, NA, NA, NA, NA, NA, NA, NA
Koi Turnbull, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Koji Suzuki, 1, NA, NA, 1957-05-13, 1957, NA, NA, NA, NA, NA, NA, NA, 1990, Horror fiction and Science fiction and Thriller (genre) and Fantasy, Ring (Suzuki novel), NA
Kool Keith, 1, NA, NA, 1966-10-07, 1966, NA, NA, NA, NA, NA, NA, NA, 1984, Trip hop and Hardcore hip hop and Horrorcore and Hip hop music and Alternative hip hop and Underground hip hop, NA, NA
Kornel Makuszyński, 1, NA, NA, 1884-01-08, 1884, 1953-07-31, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Kouta Hirano, 1, NA, NA, 1973-07-14, 1973, NA, NA, NA, Japan, NA, NA, NA, NA, NA, NA, NA
Kurt Busiek, 33, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Kurt Schaffenberger, 3, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Kurt Sutter, 18, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 2002, NA, NA, NA
Kurt Vonnegut, 3, NA, NA, 1922-11-11, 1922, 2007-04-11, NA, NA, NA, NA, NA, NA, NA, Satire and Science fiction and Gallows humor, NA, University of Chicago and Carnegie Mellon University and Cornell University and University of Tennessee
Kyle Baker, 1, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Kyle Hotz, 4, Americancomic book artistand writer, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Kyle Killen, 3, Television producer and writer, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 2010, NA, NA, NA
K. Madhu, 2, Film director, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Lucy Prebble, 2, British playwright, NA, NA, 1981, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Luke McDonnell, 7, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Luke Ross, 1, Artist, NA, 1972-07-18, 1972, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Luís de Camões, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Epic poetry, Os Lusíadas, University of Coimbra
L. Frank Baum, 39, NA, NA, 1856-05-15, 1856, 1919-05-06, NA, NA, NA, NA, NA, NA, NA, Poetry and Short story and Fantasy, The Wonderful Wizard of Oz, NA
L. J. Smith (author), 4, NA, NA, 1965-09-04, 1965, NA, NA, NA, NA, NA, NA, NA, NA, Horror fiction and Romance novel and Young-adult fiction and Fantasy, The Vampire Diaries (novel series) and The Secret Circle and Night World, University of California Santa Barbara and University of San Francisco
Laeta Kalogridis, 1, American screenwriter producer, NA, 1965-08-30, 1965, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, University of Texas at Austin and UCLA School of Theater Film and Television
Laren Bright, 2, American television writer, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Larry David, 7, NA, NA, 1947-07-02, 1947, NA, NA, NA, NA, NA, NA, NA, NA, Sketch comedy and Political satire and Observational comedy and Deadpan and Improvisational theatre, NA, NA
Larry Hama, 14, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Larry Lieber, 15, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Larry Niven, 4, NA, NA, 1938-04-30, 1938, NA, NA, NA, Americans, NA, NA, NA, 1964, Fantasy and Hard science fiction, Ringworld and The Mote in Gods Eye and Lucifers Hammer and Dream Park and The Ringworld Engineers, NA
Larry Stroman, 2, American comic book artist and writer, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Larry White, 1, American baseball player, NA, 1958-09-25, 1958, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Larry Wilmore, 2, NA, NA, 1961-10-30, 1961, NA, NA, NA, NA, NA, NA, NA, 1983, NA, NA, California State Polytechnic University Pomona
Lars Mortimer, 1, Swedish cartoonist, NA, 1946-03-22, 1946, 2014-08-25, 2014, NA, NA, NA, NA, NA, NA, NA, NA, NA
Laura Martin, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Laura Molina (artist), 1, Artist, NA, 1957-12-15, 1957, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Laurell K. Hamilton, 1, NA, NA, 1963-02-19, 1963, NA, NA, NA, NA, NA, NA, NA, 1993, Erotica and Horror fiction and Romance novel and Fantasy literature and List of science fiction novels, Anita Blake: Vampire Hunter and Merry Gentry (series), Indiana Wesleyan University
Lauren Elliott, 1, American game designer, NA, 1946-08-29, 1946, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Laurie Halse Anderson, 1, NA, NA, 1961-10-23, 1961, NA, NA, NA, Americans, NA, NA, NA, NA, Historical fiction and Picture book and Young-adult fiction, Speak (Anderson novel) and Laurie Halse Anderson and Catalyst (novel) and Wintergirls and Chains (novel) and Twisted, NA
Laurie R. King, 1, NA, NA, 1952-09-19, 1952, NA, NA, NA, NA, NA, NA, NA, 1993, Detective fiction, NA, University of California Santa Cruz and Graduate Theological Union
Lawrence Kasdan, 2, NA, NA, 1949-01-14, 1949, NA, NA, NA, NA, NA, NA, NA, 1980, NA, NA, University of Michigan
Lee Child, 1, NA, NA, 1954-10-29, 1954, NA, NA, NA, NA, NA, NA, NA, 1985, Crime fiction and Thriller (genre) and Mystery fiction, Jack Reacher, NA
Lee Elias, 7, NA, NA, NA, NA, NA, NA, NA, British people and United States nationality law, NA, NA, NA, NA, NA, NA, NA
Lee Falk, 4, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Lee Weeks, 2, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Leigh Whannell, 3, NA, NA, 1977-01-17, 1977, NA, NA, NA, NA, NA, NA, NA, 1996, NA, NA, NA
Leiji Matsumoto, 1, NA, NA, 1938-01-25, 1938, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Leinil Francis Yu, 3, NA, NA, NA, NA, NA, NA, NA, Filipinos, NA, NA, NA, NA, NA, NA, NA
Lemony Snicket, 7, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Len Deighton, 1, NA, NA, 1929-02-18, 1929, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Len Strazewski, 4, Writer, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Len Wein, 67, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Len Wiseman, 2, NA, NA, 1973-03-04, 1973, NA, NA, NA, NA, NA, NA, NA, 1994, NA, NA, NA
Leo Baxendale, 1, NA, NA, NA, NA, NA, NA, NA, United Kingdom, NA, NA, NA, NA, NA, NA, NA
Leo Benvenuti and Steve Rudnick, 1, Screenwriters, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Leo Dorfman, 1, Writer, NA, 1914-02-17, 1914, 1974-07-09, 1974, NA, NA, NA, NA, NA, NA, NA, NA, NA
Leon Schlesinger, 1, NA, NA, 1884-05-20, 1884, 1949-12-25, 1949, NA, NA, NA, NA, NA, 1919, NA, NA, NA
Leonard Kirk, 7, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Leonard Starr, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Les Clark, 2, American animator, NA, 1907-11-17, 1907, 1979-09-12, 1979, NA, NA, NA, NA, NA, NA, NA, NA, NA
Les Dawson, 1, NA, NA, 1931-02-02, 1931, 1993-06-10, 1993, NA, NA, NA, NA, NA, 1959, NA, NA, NA
Leslie Bohem, 1, Screenwriter, NA, 1951-09-25, 1951, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Leslie Charteris, 3, NA, NA, 1907-05-12, 1907, 1993-04-15, NA, NA, NA, NA, NA, NA, 0020, NA, NA, NA
Lester Dent, 1, NA, NA, 1904-10-12, 1904, 1959-03-11, 1959, NA, NA, NA, NA, NA, NA, NA, NA, NA
Lew Schwartz, 2, Artist, NA, 1926-07-24, 1926, 2011-06-18, 2011, NA, NA, NA, NA, NA, NA, NA, NA, NA
Lew Stringer, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Lewis Carroll, 27, Author mathematician and clergyman, NA, 1832-01-27, 1832, 1898-01-14, 1898, NA, NA, NA, NA, NA, NA, Linear algebra and Mathematical logic and Poetry and Childrens literature and Fantasy literature and Voting system and Literary nonsense, Through the Looking-Glass and The Hunting of the Snark and Alices Adventures in Wonderland and Jabberwocky, NA
Liam Sharp, 2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
