Title, Number_of_characters, Gender, birthDate, birthYear, deathDate, deathYear, ethnicity, nationality, country, region, religion, activeYearsStartYear, genre, notableWork, almaMater 
Ann Biderman, 0, NA, 1951-08-15, 1951, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ann Nocenti, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Annabel Jankel, 0, NA, 1955-06-01, 1955, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anne Brontë, 0, NA, 1820-01-17, NA, 1849-05-28, NA, NA, NA, NA, NA, NA, 1836, NA, The Tenant of Wildfell Hall, NA
Anne Rice, 0, NA, 1941-10-04, 1941, NA, NA, NA, NA, NA, NA, NA, NA, Erotica and Horror fiction and Fantasy literature and Gothic fiction and Christian novel, NA, San Francisco State University
Annie Proulx, 0, NA, 1935-08-22, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, University of Vermont
Anthony Burgess, 0, NA, 1917-02-25, NA, 1993-11-22, NA, NA, NA, NA, NA, NA, 1956, Horror fiction and Literary criticism and Travel literature and Philosophical fiction and Spy fiction, NA, Victoria University of Manchester
Anthony Horowitz, 0, NA, 1955-04-05, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Foyles War and Alex Rider and The Power of Five and The Diamond Brothers, University of York
Anthony Powell, 0, NA, 1905-12-21, NA, 2000-03-28, NA, NA, NA, NA, NA, NA, NA, NA, A Dance to the Music of Time, NA
Albert Uderzo, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alcée Fortier, 0, NA, 1856-06-05, 1856, NA, 1914, Louisiana Creole people, NA, NA, NA, NA, 1880, NA, NA, NA
Alex Anderson (cartoonist), 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alex Blum, 0, NA, 1889-02-07, 1889, 1969-09-01, 1969, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alex Gansa, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alex Hirsch, 0, NA, 1985-06-18, 1985, NA, NA, NA, NA, NA, NA, NA, 2008, NA, NA, California Institute of the Arts
Alex Kurtzman, 0, NA, 1973-09-07, 1973, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alex Lovy, 0, NA, 1913-09-02, 1913, 1992-02-14, 1992, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alex Maleev, 0, NA, NA, NA, NA, NA, NA, Bulgarian language, NA, NA, NA, NA, NA, NA, NA
Alex Raymond, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alex Ross, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alex Saviuk, 0, NA, 1952-08-17, 1952, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Alex Schomburg, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alex Toth, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alexander George Gurney, 0, NA, 1902-03-15, 1902, 1955-12-04, 1955, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alexandre Dumas, 0, NA, 1802-07-28, NA, 1870-12-05, NA, NA, NA, NA, NA, NA, 1829, NA, The Count of Monte Cristo and The Three Musketeers and Twenty Years After and The Vicomte of Bragelonne: Ten Years Later, NA
Alfred Andriola, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alfred Bester, 0, NA, 1913-12-18, NA, 1987-09-30, NA, NA, Americans, NA, NA, NA, 1939, Radio drama and List of science fiction novels and American comic book, NA, NA
Alfred Gough, 0, NA, 1967-08-22, 1967, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alfred Harvey, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ali LeRoi, 0, NA, 1962-02-12, 1962, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Allan Burns, 0, NA, 1935-05-18, 1935, NA, NA, NA, NA, NA, NA, NA, 1961, NA, NA, University of Oregon
Allan Heinberg, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Allen Bert Christman, 0, NA, 1915-05-31, 1915, 1942-01-23, 1942, NA, United States, NA, NA, NA, NA, NA, NA, NA
Alvin Lee (comics), 0, NA, 1980-01-23, 1980, NA, NA, NA, Canadians, NA, NA, NA, NA, NA, NA, NA
Alvin Schwartz (comics), 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Alé Garza, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Amanda Conner, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ambrós, 0, NA, 1913-08-31, 1913, 1992-09-30, 1992, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anupam Sinha, 0, NA, NA, 1962, NA, NA, NA, India, NA, NA, NA, NA, NA, NA, NA
Archie Goodwin (comics), 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Ardian Syaf, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ariel Olivetti, 0, NA, NA, NA, NA, NA, NA, Argentina, NA, NA, NA, NA, NA, NA, NA
Armando Iannucci, 0, NA, 1963-11-28, NA, NA, NA, NA, NA, NA, NA, NA, NA, Political satire, NA, NA
Arnold Drake, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Art Babbitt, 0, NA, 1907-10-08, 1907, 1992-03-04, 1992, NA, NA, NA, NA, American Jews, 1936, NA, NA, NA
Art Marcum and Matt Holloway, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 2004, NA, NA, NA
Art Saaf, 0, NA, 1921-12-04, 1921, 2007-04-21, 2007, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Art Thibert, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Arthur Adams (comics), 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Arthur C. Clarke, 0, NA, 1917-12-16, NA, 2008-03-19, NA, NA, NA, NA, NA, NA, 1946, Popular science and Hard science fiction, Rendezvous with Rama and The Fountains of Paradise and Arthur C. Clarke and 2001: A Space Odyssey, King's College London
Arthur Conan Doyle, 0, NA, 1859-05-22, NA, 1930-07-07, NA, NA, Scottish people, NA, NA, NA, NA, NA, The Lost World (Conan Doyle novel) and Canon of Sherlock Holmes, NA
Arthur Miller, 0, NA, 1915-10-17, NA, 2005-02-10, NA, NA, NA, NA, NA, NA, NA, NA, NA, University of Michigan
Arthur Pinajian, 0, NA, 1914-03-28, 1914, 1999-08-18, 1999, NA, Armenian Americans, NA, NA, NA, NA, NA, NA, NA
Artie Simek, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Arturo Pérez-Reverte, 0, NA, 1951-11-25, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Captain Alatriste, NA
Arvell Jones, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Asa Earl Carter, 0, NA, 1925-09-04, 1925, 1979-06-07, 1979, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ash Brannon, 0, NA, NA, 1969, NA, NA, NA, NA, NA, NA, NA, 1989, NA, NA, NA
Ashley Miller (screenwriter), 0, NA, 1971-03-16, 1971, NA, NA, NA, NA, NA, NA, NA, 2000, NA, NA, College of William & Mary
Astrid Lindgren, 0, NA, 1907-11-14, NA, 2002-01-28, NA, NA, Sweden, NA, NA, NA, 1944, Childrens literature and Picture book, NA, NA
August Derleth, 0, NA, 1909-02-24, NA, 1971-07-04, NA, NA, NA, NA, NA, NA, NA, Horror fiction and Science fiction and Fantasy and Mystery fiction and American literary regionalism, NA, NA
Aurania Rouverol, 0, NA, 1886-08-13, 1886, 1955-06-23, 1955, NA, NA, NA, NA, NA, NA, NA, NA, NA
Axel Alonso, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ayn Rand, 0, NA, 1905-02-02, NA, 1982-03-06, NA, History of the Jews in Russia, NA, NA, NA, NA, 1934, NA, The Fountainhead and Atlas Shrugged, Saint Petersburg State University
Aaron Lopresti, 0, NA, 1964-01-07, 1964, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Aaron McGruder, 0, NA, 1974-05-29, NA, NA, NA, NA, NA, NA, NA, NA, NA, Screenwriting and Comic strip, The Boondocks (comic strip), NA
Aaron Sorkin, 0, NA, 1961-06-09, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Syracuse University
Abid Surti, 0, NA, 1935-05-05, 1935, NA, NA, Gujarati people, Indian people, NA, NA, Muslim, NA, NA, NA, Sir Jamsetjee Jeejebhoy School of Art
Adam Horowitz, 0, NA, 1971-12-04, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Adam Hughes, 0, NA, 1967-05-05, 1967, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Adam Kubert, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Adam Pollina, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Adam Reed, 0, NA, 1970-01-08, 1970, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Adam Warren (comics), 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Adi Granov, 0, NA, NA, NA, NA, NA, NA, Bosnia and Herzegovina, NA, NA, NA, NA, NA, NA, NA
Adrian Alphona, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Adrian Dingle (cartoonist), 0, NA, NA, NA, 1974-12-22, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Adriana Melo, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Agatha Christie, 0, NA, 1890-09-15, NA, 1976-01-12, NA, NA, NA, NA, NA, NA, NA, Detective fiction and Crime fiction and Thriller (genre) and Romance novel, Miss Marple and Hercule Poirot and Murder on the Orient Express and The A.B.C. Murders and The Murder of Roger Ackroyd and Death on the Nile and The Mousetrap and The Murder at the Vicarage and Partners in Crime (short story collection) and And Then There Were None, NA
Ahmed Khaled Tawfik, 0, NA, NA, NA, NA, NA, NA, Egyptians, NA, NA, NA, NA, Horror fiction and Drama, NA, NA
Aki Kondo, 0, NA, 1977-02-22, 1977, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Akihisa Ikeda, 0, NA, 1976-10-25, 1976, NA, NA, NA, NA, NA, NA, NA, 2002, NA, NA, NA
Akira Amano, 0, NA, NA, 1973, NA, NA, NA, Japanese people, NA, NA, NA, NA, NA, NA, NA
Akira Toriyama, 0, NA, 1955-04-05, 1955, NA, NA, NA, NA, NA, NA, NA, 1978, NA, NA, NA
Akiyuki Shinbo, 0, NA, 1961-09-27, 1961, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Al Avison, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Al Ewing, 0, NA, NA, NA, NA, NA, NA, British people, NA, NA, NA, NA, NA, NA, NA
Al Feldstein, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Al Gabriele, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Al Gordon, 0, NA, 1953-06-22, 1953, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Al Hartley, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Al Jaffee, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Al Milgrom, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Al Plastino, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Al Taliaferro, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alan B. McElroy, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alan Ball (screenwriter), 0, NA, 1957-05-13, 1957, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alan Burnett, 0, NA, NA, 1950, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alan Davis, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alan Grant (writer), 0, NA, NA, NA, NA, NA, NA, Scottish people, NA, NA, NA, NA, NA, NA, NA
Alan Kupperberg, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Alan Moore, 0, NA, 1953-11-18, NA, NA, NA, NA, NA, NA, NA, NA, NA, Horror fiction, The League of Extraordinary Gentlemen and Marvelman and Batman: The Killing Joke and Voice of the Fire and Lost Girls and Watchmen and Promethea and From Hell and Swamp Thing (comic book) and V for Vendetta and Superman: Whatever Happened to the Man of Tomorrow? and For the Man Who Has Everything, NA
Alan Taylor (director), 0, NA, NA, 1959, NA, NA, NA, NA, NA, NA, NA, 1988, NA, NA, NA
Alan Weiss (comics), 0, NA, 1948-03-07, 1948, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Alan Zelenetz, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Barbara Euphan Todd, 0, NA, 1890-01-09, 1890, 1976-02-02, 1976, NA, NA, NA, NA, NA, NA, NA, NA, NA
Barbara Hall (TV producer), 0, NA, 1960-07-17, 1960, NA, NA, NA, NA, NA, NA, Catholic Church, NA, NA, NA, NA
Barbara Kesel, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Barry Humphries, 0, NA, 1934-02-17, NA, NA, NA, NA, NA, NA, NA, NA, NA, Satire and Character comedy, NA, NA
Barry Kitson, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Barry Windsor-Smith, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Barry Wong, 0, NA, 1946-11-20, 1946, 1991-10-16, 1991, NA, NA, China, NA, NA, 1980, Cinema of Hong Kong, NA, NA
Bart Sears, 0, NA, 1963-12-17, 1963, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Basil Wolverton, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Batman, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Beast (comics), 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Beatrix Potter, 0, NA, 1866-07-28, NA, 1943-12-22, NA, NA, NA, NA, NA, NA, NA, Children's literature, The Tale of Peter Rabbit, NA
Beau Smith, 0, NA, 1954-12-17, 1954, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Beau Willimon, 0, NA, 1977-10-26, 1977, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Columbia University and Juilliard School
Becca Fitzpatrick, 0, NA, 1979-02-03, NA, NA, NA, NA, NA, NA, NA, NA, NA, Romance novel and Young-adult fiction and Fantasy, Becca Fitzpatrick and Hush Hush (series), NA
Ben Edlund, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ben Hardaway, 0, NA, 1895-05-21, 1895, 1957-02-05, 1957, NA, NA, NA, NA, NA, 1933, NA, NA, NA
Ben Oliver, 0, NA, NA, NA, NA, NA, NA, United Kingdom, NA, NA, NA, NA, NA, NA, NA
Ben Queen, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ben Raab, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ben Roberts (writer), 0, NA, 1916-03-23, 1916, 1984-05-12, 1984, NA, NA, NA, NA, NA, NA, NA, NA, NA
Benito Jacovitti, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Berkeley Breathed, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Bernard Baily, 0, NA, 1916-04-05, 1916, 1996-01-19, 1996, NA, United States, NA, NA, NA, NA, NA, NA, NA
Bernard Cornwell, 0, NA, 1944-02-23, NA, NA, NA, NA, NA, NA, NA, NA, NA, Historical fiction, NA, NA
Bernie Mac, 0, NA, 1957-10-05, NA, 2008-08-09, NA, NA, Americans, NA, NA, NA, NA, Satire and Black comedy and Observational comedy and Insult comedy, NA, NA
Bernie Wrightson, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Beth Sullivan, 0, NA, 1949-08-29, 1949, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Bevan Lee, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Beverly Cleary, 0, NA, 1916-04-12, 1916, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, University of Washington and University of California Berkeley
Bibhutibhushan Bandyopadhyay, 0, NA, 1894-09-12, NA, 1950-11-01, NA, Bengalis, NA, NA, NA, NA, NA, NA, NA, NA
Bill Cosby, 0, NA, 1937-07-12, 1937, NA, NA, NA, NA, NA, NA, NA, 1961, NA, NA, NA
Bill DuBay, 0, NA, 1948-01-11, 1948, 2010-04-15, 2010, NA, United States, NA, NA, NA, NA, NA, NA, NA
Bill Everett, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Bill Finger, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Bill Fraccio, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Bill Hader, 0, NA, 1978-06-07, 1978, NA, NA, NA, NA, NA, NA, NA, 2001, NA, NA, NA
Bill Jemas, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Bill Justice, 0, NA, 1914-02-09, 1914, 2011-02-10, 2011, NA, NA, NA, NA, NA, 1937, NA, NA, NA
Bill Lawrence (TV producer), 0, NA, 1968-12-26, 1968, NA, NA, NA, NA, NA, NA, NA, 1993, NA, NA, College of William & Mary
Bill Mantlo, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Bill Mumy, 0, NA, 1954-02-01, 1954, NA, NA, NA, NA, NA, NA, NA, 1959, NA, NA, NA
Bill Parker (comics), 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Bill Prady, 0, NA, 1960-06-07, 1960, NA, NA, NA, NA, NA, NA, NA, 1984, NA, NA, NA
Bill Sienkiewicz, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Bill Tytla, 0, NA, 1904-10-25, 1904, 1968-12-30, 1968, NA, NA, NA, NA, NA, NA, NA, NA, NA
Bill Watterson, 0, NA, 1958-07-05, 1958, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Bill Willingham, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Bill Woggon, 0, NA, 1911-01-01, 1911, 2003-03-02, 2003, NA, NA, NA, NA, NA, NA, NA, NA, NA
Billy Graham, 0, NA, 1918-11-07, 1918, NA, NA, NA, NA, NA, NA, Evangelicalism, NA, NA, NA, Wheaton College (Illinois)
Billy Graham (comics), 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Billy Tan, 0, NA, NA, NA, NA, NA, NA, Malaysia, NA, NA, NA, NA, NA, NA, NA
Bisco Hatori, 0, NA, NA, NA, NA, NA, NA, Japanese people, NA, NA, NA, NA, NA, NA, NA
Blake Edwards, 0, NA, 1922-07-26, 1922, 2010-12-15, 2010, NA, NA, NA, NA, NA, 1942, NA, NA, NA
Boaz Yakin, 0, NA, 1966-06-20, 1966, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Bob Brown (comics), 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Bob Budiansky, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Bob Clampett, 0, NA, 1913-05-08, 1913, 1984-05-02, 1984, NA, NA, NA, NA, NA, 1931, NA, NA, NA
Bob Einstein, 0, NA, 1942-11-20, 1942, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Bob Gale, 0, NA, 1951-05-25, 1951, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Bob Hall (comics), 0, NA, 1944-10-16, 1944, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Bob Haney, 0, NA, 1926-03-15, 1926, 2004-11-25, 2004, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Bob Harras, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Bob Kane, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Bob Layton, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Bob McLeod (comics), 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Bob Monkhouse, 0, NA, 1928-06-01, 1928, 2003-12-29, 2003, NA, NA, NA, NA, NA, 1952, NA, NA, NA
Bob Montana, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Bob Mosher, 0, NA, 1915-01-18, 1915, 1972-12-15, 1972, NA, NA, NA, NA, NA, NA, NA, NA, NA
Bob Odenkirk, 0, NA, 1962-10-22, 1962, NA, NA, NA, NA, NA, NA, NA, 1987, NA, NA, NA
Bob Oksner, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Bob Powell, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Bob Rozakis, 0, NA, 1951-04-04, 1951, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Bob Schooley, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Bob Wiacek, 0, NA, 1953-01-07, 1953, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Bobby A. Suarez, 0, NA, 1942-11-27, 1942, 2010-02-08, 2010, NA, NA, NA, NA, NA, NA, NA, NA, NA
Bonita Granville, 0, NA, 1923-02-02, 1923, 1988-10-11, 1988, NA, NA, NA, NA, NA, 1932, NA, NA, NA
Boris Akunin, 0, NA, 1956-05-20, NA, NA, NA, NA, NA, NA, NA, NA, 1980, Detective fiction and Historical fiction, Erast Fandorin, Institute of Asian and African Countries
Brad Falchuk, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, American Film Institute
Brad Meltzer, 0, NA, 1970-04-01, NA, NA, NA, NA, Americans, NA, NA, NA, 1997, Non-fiction and Superhero fiction and Political thriller, Jack & Bobby and Identity Crisis (DC Comics), University of Michigan and Columbia Law School
Brad Wright, 0, NA, 1961-05-02, 1961, NA, NA, NA, Canadians, NA, NA, NA, 1990, NA, NA, NA
Brainiac (comics), 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Bram Stoker, 0, NA, 1847-11-08, NA, 1912-04-20, NA, NA, Irish people, NA, NA, NA, NA, Romance novel and Gothic fiction, Dracula, Trinity College Dublin
Brandon Choi, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Brandon Mull, 0, NA, 1974-11-08, 1974, NA, NA, NA, United States, NA, NA, NA, 2006, Young-adult fiction and Fantasy, Fablehaven (novel), Brigham Young University
Brandon Peterson, 0, NA, 1969-11-14, 1969, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Brandon Vietti, 0, NA, 1963-09-28, 1963, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Branislav Kerac, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
